booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,number_of_rooms,adults_count,children_count
RES-10001,GST-0522,2024-12-05,2024-12-24,2024-12-28,RT_OCV,RC_CORP,CH_DIR,Leisure,Checked-Out,27991.6,1,2,1
RES-10002,GST-1359,2024-07-27,2024-07-28,2024-08-03,RT_STQ,RC_RACK,CH_WAL,Group,Checked-Out,25061.4,1,2,1
RES-10003,GST-0777,2024-10-07,2024-10-21,2024-10-23,RT_STQ,RC_CORP,CH_BDC,Transient,Checked-Out,5586.0,1,2,0
RES-10004,GST-0906,2024-02-14,2024-04-10,2024-04-12,RT_ACC,RC_NRF,CH_BDC,Leisure,Checked-Out,3571.2,1,2,0
RES-10005,GST-1950,2024-01-11,2024-01-27,2024-01-31,RT_STQ,RC_RACK,CH_BDC,Group,Checked-Out,15527.2,1,2,0
RES-10006,GST-1290,2024-02-04,2024-03-30,2024-04-02,RT_STQ,RC_AAA,CH_BDC,Group,Checked-Out,9217.8,1,1,1
RES-10007,GST-0449,2024-04-30,2024-05-14,2024-05-17,RT_STQ,RC_CORP,CH_DIR,Wholesale,Checked-Out,6326.4,1,2,3
RES-10008,GST-1826,2024-09-09,2024-10-21,2024-10-22,RT_DLK,RC_NRF,CH_EXP,Transient,Checked-Out,3577.6,1,2,1
RES-10009,GST-1068,2024-04-13,2024-05-14,2024-05-16,RT_STE,RC_AAA,CH_EXP,Business,Cancelled,0,1,1,0
RES-10010,GST-1422,2024-07-31,2024-09-02,2024-09-03,RT_STQ,RC_AAA,CH_DIR,Business,Checked-Out,1951.92,1,1,2
RES-10011,GST-1568,2024-06-22,2024-08-01,2024-08-04,RT_STQ,RC_PROMO,CH_BDC,Leisure,Checked-Out,9941.68,1,1,0
RES-10012,GST-1370,2024-01-27,2024-03-20,2024-03-22,RT_DLK,RC_RACK,CH_BDC,Leisure,Checked-Out,8612.0,1,1,1
RES-10013,GST-0278,2024-08-19,2024-08-20,2024-08-22,RT_STQ,RC_RACK,CH_WAL,Business,Checked-Out,8525.4,1,2,0
RES-10014,GST-0168,2024-03-14,2024-05-08,2024-05-11,RT_ACC,RC_RACK,CH_EXP,Group,Cancelled,0,1,1,0
